Address,City,State,Zip,links
5917 S Green St,Chicago,IL,60621,"https://www.zillow.com/homes/5917-S-Green-St,Chicago-IL-60621_rb"
14905 Page Ave,Harvey,IL,60426,"https://www.zillow.com/homes/14905-Page-Ave,Harvey-IL-60426_rb"
120 E 154th St,Harvey,IL,60426,"https://www.zillow.com/homes/120-E-154th-St,Harvey-IL-60426_rb"
15150 Broadway Ave,Harvey,IL,60426,"https://www.zillow.com/homes/15150-Broadway-Ave,Harvey-IL-60426_rb"
13901 S State St,Riverdale,IL,60827,"https://www.zillow.com/homes/13901-S-State-St,Riverdale-IL-60827_rb"
120 E 154th St,Harvey,IL,60426,"https://www.zillow.com/homes/120-E-154th-St,Harvey-IL-60426_rb"
8239 S Ashland Ave,Chicago,IL,60620,"https://www.zillow.com/homes/8239-S-Ashland-Ave,Chicago-IL-60620_rb"
7847 S Lowe Ave #1,Chicago,IL,60620,"https://www.zillow.com/homes/7847-S-Lowe-Ave-#1,Chicago-IL-60620_rb"
9441 S Ewing Ave,Chicago,IL,60617,"https://www.zillow.com/homes/9441-S-Ewing-Ave,Chicago-IL-60617_rb"
1841 Chicago Rd,Chicago Heights,IL,60411,"https://www.zillow.com/homes/1841-Chicago-Rd,Chicago-Heights-IL-60411_rb"
1403 W 111th St,Chicago,IL,60643,"https://www.zillow.com/homes/1403-W-111th-St,Chicago-IL-60643_rb"
13901 S State St,Riverdale,IL,60827,"https://www.zillow.com/homes/13901-S-State-St,Riverdale-IL-60827_rb"
419 Garfield Ave,Calumet City,IL,60409,"https://www.zillow.com/homes/419-Garfield-Ave,Calumet-City-IL-60409_rb"
1521 S Kilbourn Ave,Chicago,IL,60623,"https://www.zillow.com/homes/1521-S-Kilbourn-Ave,Chicago-IL-60623_rb"
6654 S Michigan Ave #1,Chicago,IL,60637,"https://www.zillow.com/homes/6654-S-Michigan-Ave-#1,Chicago-IL-60637_rb"
7345 S Champlain Ave,Chicago,IL,60619,"https://www.zillow.com/homes/7345-S-Champlain-Ave,Chicago-IL-60619_rb"
15030 University Ave #1,Dolton,IL,60419,"https://www.zillow.com/homes/15030-University-Ave-#1,Dolton-IL-60419_rb"
5537 S Archer Rd,Summit Argo,IL,60501,"https://www.zillow.com/homes/5537-S-Archer-Rd,Summit-Argo-IL-60501_rb"
324 E 68th St,Chicago,IL,60637,"https://www.zillow.com/homes/324-E-68th-St,Chicago-IL-60637_rb"
9605 S Winston Ave,Chicago,IL,60643,"https://www.zillow.com/homes/9605-S-Winston-Ave,Chicago-IL-60643_rb"
7345 S Champlain Ave,Chicago,IL,60619,"https://www.zillow.com/homes/7345-S-Champlain-Ave,Chicago-IL-60619_rb"
6926 S Peoria St,Chicago,IL,60621,"https://www.zillow.com/homes/6926-S-Peoria-St,Chicago-IL-60621_rb"
6539 S Saint Lawrence Ave,Chicago,IL,60637,"https://www.zillow.com/homes/6539-S-Saint-Lawrence-Ave,Chicago-IL-60637_rb"
8228 S Ada St,Chicago,IL,60620,"https://www.zillow.com/homes/8228-S-Ada-St,Chicago-IL-60620_rb"
7652 S Union Ave #2fl,Chicago,IL,60620,"https://www.zillow.com/homes/7652-S-Union-Ave-#2fl,Chicago-IL-60620_rb"
3214 W 137th St,Robbins,IL,60472,"https://www.zillow.com/homes/3214-W-137th-St,Robbins-IL-60472_rb"
